security_code,issuer_name,security_id,security_name,status,group,face_value,isin_no,instrument,load_date,source,data_source
500028,Atv Projects India Ltd,ATVPR,Atv Projects India Ltd,Active,X,10.0,INE447A01015,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500029,Autolite (India) Ltd.,AUTOLITIND,Autolite (India) Ltd,Delisted,Z,10.0,INE448A01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500030,Autoriders Finance Ltd.,AUTORIDFIN,Autoriders Finance Ltd,Delisted,Z,10.0,INE450A01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500031,Bajaj Electricals Ltd.,BAJAJELEC,Bajaj Electricals Ltd,Active,A,2.0,INE193E01025,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Active,A,1.0,INE306A01021,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500033,Force Motors Limited,FORCEMOT,Force Motors Ltd,Active,A,10.0,INE451A01017,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Ltd,Active,A,1.0,INE296A01032,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500035,Balaji Distilleries Ltd.,BALAJIDI,Balaji Distilleries Ltd,Delisted,T,10.0,INE453A01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500036,Balaji Industrial Corporation Ltd.,BALAJIIND,Balaji Industrial Corporation Ltd,Delisted,X,10.0,INE455A01018,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,Balrampur Chini Mills Ltd,Active,A,1.0,INE119A01028,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500039,Banco Products (India) Ltd.,BANCOINDIA,Banco Products (India) Ltd,Active,A,2.0,INE213C01025,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500040,Aditya Birla Real Estate Limited,ABREL,Aditya Birla Real Estate Ltd,Active,A,10.0,INE055A01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500041,Bannari Amman Sugars Ltd.,BANARISUG,Bannari Amman Sugars Ltd,Active,B,10.0,INE459A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500042,Basf India Ltd,BASF,Basf India Ltd,Active,A,10.0,INE373A01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500043,Bata India Limited,BATAINDIA,Bata India Ltd,Active,A,5.0,INE176A01028,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500044,Rayban Sun Optics India Ltd.,RAYBAN,Rayban Sun Optics India Ltd,Delisted,B,10.0,INE854A01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500045,Bellary Steel & Alloys Ltd,BELLARYS,Bellary Steels & Alloys Ltd,Delisted,XT,1.0,INE166C01025,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500046,Best & Crompton Engineering Ltd.,BECREL,Best & Crompton Engineering Ltd,Delisted,Z,10.0,INE287A01015,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500048,Beml Ltd,BEML,Beml Ltd,Active,A,5.0,INE258A01024,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500049,Bharat Electronics Ltd.,BEL,Bharat Electronics Ltd,Active,A,1.0,INE263A01024,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500050,"Bharat Rasayan Ltd.,",BHARATRA,Bharat Rasayan Ltd,Delisted,T,10.0,INE838B01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500051,Bhagawati Gas Limited,BHAGGAS,Bhagawati Gas Ltd,Active,XT,10.0,INE099C01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500052,Bhansali Engineering Polymers Ltd.,BEPL,Bhansali Engineering Polymers Ltd,Active,B,1.0,INE922A01025,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500055,Tata Steel Bsl Limited,TATASTLBSL,Tata Steel Bsl Ltd,Delisted,T,2.0,INE824B01021,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500056,Mastergrowth - 93 (Scheme Of Uti),UTIMRDM,Uti Master Growth 93,Delisted,B,10.0,INF189A01046,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500057,Aditya Birla Chemicals (India) Limited,ABCIL,Aditya Birla Chemicals (India) Ltd,Delisted,B,10.0,INE605B01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500058,Bihar Sponge Iron Ltd,BIHSPONG,Bihar Sponge Iron Ltd,Active,X,10.0,INE819C01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500059,Bil Vyapar Limited,BILVYAPAR,Bil Vyapar Ltd,Active,T,10.0,INE071A01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,T,10.0,INE800A01015,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500061,Andhra Valley Power Supply Company,ANVALDM,Andhra Valley Power Supply Co Ltd,Delisted,B,10.0,INE247A01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500062,Ashok Leyland Finance Ltd.,ASHOKLEYFIN,Ashok Leyland Finance Ltd,Delisted,B,10.0,INE251A01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500063,Oswal Chemicals & Fertilizers Ltd,OSWALCHEM,Oswal Chemicals & Fertilizers Ltd,Delisted,B,10.0,INE143A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500064,Birla Global Finance Ltd.,BGFL,Birla Global Finance Ltd,Delisted,B,10.0,INE097A01018,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500067,Blue Star Ltd,BLUESTARCO,Blue Star Ltd,Active,A,2.0,INE472A01039,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500068,Disa India Ltd.,DISAQ,Disa India Ltd,Active,B,10.0,INE131C01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500069,Quest Capital Markets Limited,QUESTCAP,Quest Capital Markets Ltd,Active,X,10.0,INE418C01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500070,Bank Of Punjab Ltd.,BOP,Bank Of Punjab Ltd,Delisted,B,10.0,INE458A01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500072,Bongaingaon Refinery & Petrochemica,BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd,Delisted,B,10.0,INE241A01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500073,Bpl Engineering Ltd.,BPLENG,Bpl Engineering Ltd,Delisted,B,10.0,INE108A01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500074,Bpl Ltd.,BPL,Bpl Ltd,Active,B,10.0,INE110A01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500075,Nagarjuna Fertiliser & Chem. Ltd.,NAGARFER,Nagarjuna Fertilizers And Chemicals Ltd,Delisted,B,10.0,INE580A01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500076,"Burroughs Wellcome (India) Ltd.,",BURROWEL,Burroughs Wellcome (India) Ltd,Delisted,B,10.0,INE157A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500077,Cable Corporation Of India Ltd.,CCI,Cable Corporation Of India Ltd,Delisted,B,10.0,INE475A01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500078,Oriental Aromatics Limited,OAL,Oriental Aromatics Ltd,Active,B,5.0,INE959C01023,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500079,Carrier Aircon Ltd,CARIR,Carrier Aircon Ltd,Delisted,B,10.0,INE480A01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500080,Cauvery Software Engg. Systems Ltd.,CAUVERSOFT,Cauvery Software Engineering Systems Ltd,Delisted,B,10.0,INE466B01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500082,Centak Chemicals Ltd.,CENCHDM,Centak Chemicals Ltd,Delisted,B,10.0,INE942A01015,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500083,Century Extrusions Ltd.,CENTEXT,Century Extrusions Ltd,Active,B,1.0,INE281A01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500084,Cesc Limited,CESC,Cesc Ltd,Active,A,1.0,INE486A01021,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Active,A,10.0,INE085A01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500086,Exide Industries Ltd.,EXIDEIND,Exide Industries Ltd,Active,A,1.0,INE302A01020,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500087,Cipla Ltd.,CIPLA,Cipla Ltd,Active,A,2.0,INE059A01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500089,Dic India Ltd,DICIND,Dic India Ltd,Active,B,10.0,INE303A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500090,Madura Coats Ltd,MADUCOA,Madura Coats Ltd,Delisted,B,10.0,INE122A01014,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500091,Core Healthcare Ltd.,COREPARENT,Core Healthcare Ltd,Delisted,B,10.0,INE494A01017,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500092,Crisil Ltd.,CRISIL,Crisil Ltd,Active,A,1.0,INE007A01025,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500093,Cg Power And Industrial Solutions Limited,CGPOWER,Cg Power And Industrial Solutions Ltd,Active,A,2.0,INE067A01029,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500094,C.T. Cotton Yarn Ltd.,CTCOTTON,Ct Cotton Yarn Ltd,Delisted,XD,10.0,INE107D01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500095,Wyeth Ltd.,WYETH,Wyeth Ltd,Delisted,B,10.0,INE378A01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500096,Dabur India Ltd.,DABUR,Dabur India Ltd,Active,A,1.0,INE016A01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500097,Dalmia Bharat Sugar And Industries Ltd,DALMIASUG,Dalmia Bharat Sugar And Industries Ltd,Active,B,2.0,INE495A01022,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500098,Skyline Nepc Ltd,SKYLNEPC,Skyline Nepc Ltd,Delisted,B,10.0,INE575B01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500099,Central India Polyesters Ltd.,CENTINPO,Central India Polyesters Ltd,Delisted,B,10.0,INE496A01020,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500100,Daewoo Motors India Ltd.,DAEWOO,Daewoo Motors India Ltd,Delisted,XD,10.0,INE497A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500101,Arvind Ltd.,ARVIND,Arvind Ltd,Active,A,10.0,INE034A01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500102,Ballarpur Industries Ltd.,BALLARPUR,Ballarpur Industries Ltd,Suspended,Z,2.0,INE294A01037,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500103,Bharat Heavy Electricals Ltd.,BHEL,Bharat Heavy Electricals Ltd,Active,A,2.0,INE257A01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,Hindustan Petroleum Corporation Ltd,Active,A,10.0,INE094A01015,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500105,Indian Petrochemicals Corpn. Ltd.,IPCL,Indian Petrochemicals Corporation Ltd,Delisted,B,10.0,INE006A01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500106,Ifci Ltd.,IFCI,Ifci Ltd,Active,A,10.0,INE039A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500107,Jindal Iron & Steel Co Ltd.,JINDALIRON,Jindal Iron & Steel Company Ltd,Delisted,B,10.0,INE020A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500108,Mahanagar Telephone Nigam Ltd.,MTNL,Mahanagar Telephone Nigam Ltd,Active,B,10.0,INE153A01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500109,Mangalore Refinery & Petrochemicals,MRPL,Mangalore Refinery And Petrochemicals Ltd,Active,A,10.0,INE103A01014,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,Chennai Petroleum Corporation Ltd,Active,A,10.0,INE178A01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500111,Reliance Capital Limited,RELCAPITAL,Reliance Capital Ltd,Delisted,T,10.0,INE013A01015,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500112,State Bank Of India,SBIN,State Bank Of India,Active,A,1.0,INE062A01020,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500113,Steel Authority Of India Ltd.,SAIL,Steel Authority Of India Ltd,Active,A,10.0,INE114A01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500114,Titan Company Limited,TITAN,Titan Company Ltd,Active,A,1.0,INE280A01028,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500115,Masterplus - 91 (Scheme Of Uti)-Oe.Not.45507/00,MSTRP,Mstrp,Delisted,Z,10.0,INF189A01061,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500116,Idbi Bank Ltd,IDBI,Idbi Bank Ltd,Active,A,10.0,INE008A01015,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500117,Dcw Ltd.,DCW,Dcw Ltd,Active,B,2.0,INE500A01029,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500119,Dhampur Sugar Mills Ltd.,DHAMPURSUG,Dhampur Sugar Mills Ltd,Active,B,10.0,INE041A01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500120,Diamines & Chemicals Ltd.,DIAMINESQ,Diamines & Chemicals Ltd,Active,B,10.0,INE591D01014,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500121,Digital Globalsoft Ltd.,DIGITAL,Digital Globalsoft Ltd,Delisted,B,10.0,INE124A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500122,Ambuja Cement Rajasthan Ltd,AMBUJACEMR,Ambuja Cement Rajasthan Ltd,Delisted,Z,10.0,INE125A01017,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500123,Elantas Beck India Ltd,ELANTAS,Elantas Beck India Ltd,Active,B,10.0,INE280B01018,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500124,Dr. Reddy'S Laboratories Ltd.,DRREDDY,Dr Reddys Laboratories Ltd,Active,A,1.0,INE089A01031,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500125,E.I.D. Parry (India) Ltd.,EIDPARRY,Eid Parry India Ltd,Active,A,1.0,INE126A01031,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500126,Procter & Gamble Health Limited,PGHL,Procter & Gamble Health Ltd,Active,A,10.0,INE199A01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500128,Electrosteel Castings Ltd.,ELECTCAST,Electrosteel Castings Ltd,Active,A,1.0,INE086A01029,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500130,Elgi Finance Ltd.,ELGIF,Elgi Finance Ltd,Delisted,T,10.0,INE424D01018,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500131,Elgitread (India)  Ltd.,ELGITR,Elgitread (India) Ltd,Delisted,B,1.0,INE257B01024,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500132,Empee Sugars & Chemicals Ltd.,EMPEESUG,Empee Sugars & Chemicals Ltd,Suspended,Z,10.0,INE928B01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500133,Esab India Ltd.,ESABINDIA,Esab India Ltd,Active,A,10.0,INE284A01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500134,Essar Oil Ltd.,ESSAROIL,Essar Oil Ltd,Delisted,A,10.0,INE011A01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500135,Epl Limited,EPL,Epl Ltd,Active,A,2.0,INE255A01020,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500136,Ester Industries Ltd.,ESTER,Ester Industries Ltd,Active,B,5.0,INE778B01029,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500138,Uniworth Textiles Ltd.,UNIWORTHT,Uniworth Textiles Ltd,Delisted,XT,10.0,INE486C01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500139,Fedders Electric And Engineering Limited,FEDDERELEC,Fedders Electric And Engineering Ltd,Delisted,Z,10.0,INE249C01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500141,Ferro Alloys Corporation Ltd.,FERROALL,Ferro Alloys Corporation Ltd,Delisted,X,1.0,INE912A01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500142,Fgp Ltd,FGP,Fgp Ltd,Active,X,10.0,INE512A01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500143,P.H. Capital Ltd.,PHCAP,Ph Capital Ltd,Active,XT,10.0,INE160F01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500144,Finolex Cables Ltd.,FINCABLES,Finolex Cables Ltd,Active,A,2.0,INE235A01022,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500145,First Leasing Co. Of India Ltd.,FIRSTLEASE,First Leasing Company Of India Ltd,Delisted,Z,10.0,INE492B01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500147,John Cockerill India Limited,COCKERILL,John Cockerill India Ltd,Active,B,10.0,INE515A01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500148,Uflex Limited,UFLEX,Uflex Ltd,Active,B,10.0,INE516A01017,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500149,Floatglass India Limited,FLOAI,Floatglass India Ltd,Delisted,B,10.0,INE517A01015,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500150,Foseco India Ltd,FOSECOIND,Foseco India Ltd,Active,B,10.0,INE519A01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500151,Golden Tobacco Ltd.,GOLDENTOBC,Golden Tobacco Ltd,Active,Z,10.0,INE973A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500152,"G.R. Magnets, Ltd.",GRMAG,Gr Magnets Ltd,Delisted,Z,10.0,INE523A01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500153,Ganesh Benzoplast Ltd.,GANESHBE,Ganesh Benzoplast Ltd,Active,B,1.0,INE388A01029,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500154,Futuristic Offshore Services And Chemical Ltd.,FOSCL,Futuristic Offshore Services & Chemical Ltd,Suspended,XT,10.0,INE418A01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500155,Garden Silk Mills Ltd.,GARDENSILK,Garden Silk Mills Ltd,Delisted,B,10.0,INE526A01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500156,German Remedies Ltd.,GRMNR,German Remedies Ltd,Delisted,B,10.0,INE382A01014,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500159,Metroglobal Limited,METROGLOBL,Metroglobal Ltd,Active,B,10.0,INE085D01033,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500160,Gtl Ltd,GTL,Gtl Ltd,Active,B,10.0,INE043A01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500161,Global Trust Bank Ltd.,GTB,Global Trust Bank Ltd,Delisted,T,10.0,INE130A01017,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500162,Parrys  Sugar  Industries Limited,PARRYSUGAR,Parrys Sugar Industries Ltd,Delisted,B,10.0,INE353B01021,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500163,Godfrey Phillips India Ltd.,GODFRYPHLP,Godfrey Phillips India Ltd,Active,A,2.0,INE260B01028,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500164,Godrej Industries Ltd.,GODREJIND,Godrej Industries Ltd,Active,A,1.0,INE233A01035,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500165,Kansai Nerolac Paints,KANSAINER,Kansai Nerolac Paints Ltd,Active,A,1.0,INE531A01024,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500166,Goodricke Group Ltd.,GOODRICKE,Goodricke Group Ltd,Active,X,10.0,INE300A01016,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500167,Good Value Marketing Co. Ltd.,GOVMC,Good Value Marketing Company Ltd,Delisted,Z,10.0,INE532A01014,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500168,Goodyear India Ltd.,GOODYEAR,Goodyear India Ltd,Active,B,10.0,INE533A01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500170,Gtn Industries Limited,GTNINDS,Gtn Industries Ltd,Active,X,10.0,INE537A01013,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500171,Ghcl Ltd.,GHCL,Ghcl Ltd,Active,A,10.0,INE539A01019,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500173,Gfl Limited,GFLLIMITED,Gfl Ltd,Active,B,1.0,INE538A01037,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500174,Gujarat Lease Financing Limited,GLFL,Gujarat Lease Financing Ltd,Active,T,10.0,INE540A01017,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500175,Gujarat Telephone Cables Ltd.,GTCL,Gujarat Telephone Cables Ltd,Delisted,B,10.0,INE261B01018,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500177,Hanil Era Textiles Ltd.,HANILERA,Hanil Era Textiles Ltd,Delisted,T,10.0,INE021D01012,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500178,Harig Crankshafts Ltd.,HARCR,Harig Crankshafts Ltd,Active,XT,10.0,INE905C01034,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500179,Hcl Infosystems Ltd,HCL-INSYS,Hcl Infosystems Ltd,Active,B,2.0,INE236A01020,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500180,Hdfc Bank Ltd.,HDFCBANK,Hdfc Bank Ltd,Active,A,1.0,INE040A01034,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500182,Hero Motocorp Limited,HEROMOTOCO,Hero Motocorp Ltd,Active,A,2.0,INE158A01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500183,Hfcl Limited,HFCL,Hfcl Ltd,Active,A,1.0,INE548A01028,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A,1.0,INE019C01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500185,Hindustan Construction Co. Ltd.,HCC,Hindustan Construction Company Ltd,Active,A,1.0,INE549A01026,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,Hindustan Oil Exploration Company Ltd,Active,B,10.0,INE345A01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500187,Agi Greenpac Limited,AGI,Agi Greenpac Ltd,Active,A,2.0,INE415A01038,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500188,Hindustan Zinc Ltd.,HINDZINC,Hindustan Zinc Ltd,Active,A,2.0,INE267A01025,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500189,Ndl Ventures Limited,NDLVENTURE,Ndl Ventures Ltd,Active,B,10.0,INE353A01023,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500190,Hitech Drilling Services India Ltd.,HITDRDM,Hitech Drilling Services India Ltd,Delisted,B,10.0,INE555A01015,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500191,Hmt Limited,HMT,Hmt Ltd,Active,Z,10.0,INE262A01018,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,Prag Bosimi Synthetics Ltd,Active,X,10.0,INE962B01011,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500193,Hlv Limited,HLVLTD,Hlv Ltd,Active,B,2.0,INE102A01024,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500195,Hotline Glass Ltd.,HOTLINGLAS,Hotline Glass Ltd,Delisted,XD,10.0,INE676B01017,Equity,2026-07-03 22:20:52.856832,BSE,BSE
500198,Ibp Co. Ltd.,IBP,Ibp Company Ltd,Delisted,B,10.0,INE261A01010,Equity,2026-07-03 22:20:52.856832,BSE,BSE
